token_id,current_owner,known_label,in_idLookUp
60199,tz1W9ThvCcY7BDtEiSvdBuKPWuD9K8W89noh,,True
60200,KT1KUF5PQYJhUXQoHfNaGYekBGabmLtjQ9ks,KT1KUF5...Ja2A (contract),True
60201,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60202,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60203,tz1N9cFYCxfTL7pRJyWHoo7XgEqV5Fr4decD,,True
60204,tz1SpRwsAdsWshBeugtEaWD5PhesgzRvHVrn,,True
60206,tz1codeYURj5z49HKX9zmLHms2vJN2qDjrtt,,True
60207,tz1dQDwFrdZHTwZNn3aBi9e2Tiv1XbtMZP78,,True
60208,tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK,,True
60209,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60210,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60211,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60212,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60213,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60215,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60216,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60218,tz1dQDwFrdZHTwZNn3aBi9e2Tiv1XbtMZP78,,True
60219,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60220,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60221,tz1QTmKJgnJBfCjTSghsmaf6sM3Lk7Jwqzvh,,True
60224,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60225,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60226,tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,,True
60227,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60228,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60230,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60231,tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,,True
60233,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60234,tz1UUSrrxHq647suLgAngWE481UTbzUonf9G,,True
60235,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60236,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60237,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60238,tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,,True
60239,tz2L4t9S9LjpR2ca6B869siiKe2Ymp3aQ4gg,,True
60240,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60241,tz1Lecmth8DZ53BwNTvSmPnM5e6sWgUY9Dto,,True
60242,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60243,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60244,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60245,tz1ehhHuAQXrdXukswG2PP7TnptsEfHDxbZK,,True
60246,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60247,tz1duafqHy827Aw6bbFNVqUbpxphm8MSecwU,,True
60248,tz2X5sXCbzQSYKdjgXvqKzTTpEqcEPdapXBs,,True
60249,tz1KfzRQePEM88mucnFxqUuaV9n4mEQE7ktf,,True
60250,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60251,tz1KfzRQePEM88mucnFxqUuaV9n4mEQE7ktf,,True
60252,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60253,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60254,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60255,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60256,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60257,tz1cRdKojFLNQraoWbqjVovvmgR8ogPXXdnc,,True
60258,tz1g5Pd8Z32hc3PR6LqDR1CoN5mp2r3aL57U,,True
60259,tz292bg3pHAWNoXu2F1uyRqajWqQn3K39Nyv,,True
60260,tz1N9cFYCxfTL7pRJyWHoo7XgEqV5Fr4decD,,True
60338,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60339,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60340,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60344,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60346,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60348,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60349,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60350,tz1bNpCsGoX9eYjL1rKBLeQYmtWXB8RqGPdm,,True
60354,tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,,True
60355,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60356,tz1YFf88w1azuHnVVb7PriaRMcuDjQoit4kR,,True
60357,tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,,True
60358,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60359,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60361,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60362,tz1ir6dp9SGakCedZKTfdexzQ5G35RDdRWQH,,True
60363,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60366,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60367,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60368,tz1P6fFTp2ns9aPABp33g7XqkwNMBBevaVrN,,True
60369,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60370,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60371,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60372,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60373,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60374,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60375,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60377,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60379,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60380,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60381,tz1bKM4FRgAsGdDWzXs4o5HZdjBbLMbPBAA1,,True
60382,tz1g5Pd8Z32hc3PR6LqDR1CoN5mp2r3aL57U,,True
60383,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60384,tz29tmqXFXdyiw6qyxPKfwsKDm5JJQGz8euF,,True
60386,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60387,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60388,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60389,tz2CYbLMDbiG54yz8Z5gNd61ZA2x6XJUZ1Gb,,True
60391,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60392,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60393,tz1SUc8uEubpzbGMKDMP1BLZWTgRpnc4nsqo,,True
60394,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60395,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60396,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60397,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60399,tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj,,True
60401,tz1Wv7W62X1YS8YgPeF7dBD1LCe5s7kYNhug,,True
60403,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60404,tz1iMDSaAghj9dby9FrZV1HpLk8ZXKzjxfmy,,True
60406,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60407,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60413,tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,,True
60414,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60416,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60418,tz29LqGEjCrSR1HFhzMoujZvXi5Rgdhxe7mP,,True
60429,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60432,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60433,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60434,tz1bseqaCRcRGBtppwboR17TvXgjSoyxArXX,,True
60436,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60437,tz1WuJ7QQDRjWPEZgreryE3yxbmNwBzjsLZj,,True
60438,tz1YN1FdSMuJ95bMHJ7GSHV5NLLRiJ8XcbDQ,,True
60439,tz1d473kD8ctsHnJVtmoLAGW1wBZzYzMuU7n,,True
60440,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60441,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,,True
60442,tz2FwrmrSE3y5MrQFyRQNhVKX6kDJvo5Qep7,,True
60443,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60444,tz1YCuRnQExvv8qLnkA3Z88FVzhSHnv3QYrZ,,True
60445,tz1W4EJYT5NqjmkgzjGf9UN3bd8sC3cighoG,,True
60446,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60447,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60448,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60449,tz1amHLKiJcGRrC8wRqs71hkZBeQtY9ENtDg,,True
60450,tz1W6i98j9u4W1sMiUwQFii5rkn1vMUkW5Jm,,True
60451,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60452,tz1PihyM2RNdHku8piq5sSQusNiiPZqrcZQy,,True
60453,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60454,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60455,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60456,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60457,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60458,tz1MKfZ7QdHxwb7MCg1y3XkaYmsUh5N6j4Qb,,True
60459,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60460,tz1TnTrurWnP2uRrsU76fhxqRUpU37a91y6B,,True
60461,tz2GoWhAkzsxsWrUk415PzTgitDZkUAhkGTN,,True
60462,tz1gWz2AMTzpmaCeFH2b2cZhyZ7LniuqkhG4,,True
60463,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60464,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60465,tz1UFtLJHzP8ngKYFLTky1VmQLnM6t2omoHP,,True
60466,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60467,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60468,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60469,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60470,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60471,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60472,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60473,tz1VhCvo2M7ne6GihA46hqhEoPceFo1Kbhg5,,True
60474,tz1Lb2PAxSdEj7iv9bP5RguJYz4PiLaSdQ2q,,True
60475,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60476,tz1TiUB16Z6FrH9yGngKn4swqpVWU84frTng,,True
60477,tz1b8geWtDuM8kv4rFMTzLEQ69M3g7ADSVP2,,True
60478,tz1h6mySdKmhv23eJXdWcFxJREr8qw2t7Nxu,,True
60479,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60480,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60481,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60483,tz1cxzLcz3UpPwSkzeVGPnpVc4WR7mhPpMic,,True
60486,tz1iYcu3nEuhA25wHGbwELkg6RXwVdhJorrq,,True
60487,tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj,,True
60489,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60491,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60492,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60493,tz1UYvfAm8bQiQRYKTto6nt2VgPArophjjvq,,True
60494,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60495,tz1cRdKojFLNQraoWbqjVovvmgR8ogPXXdnc,,True
60496,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60497,tz29LqGEjCrSR1HFhzMoujZvXi5Rgdhxe7mP,,True
60498,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60499,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60500,tz2L4t9S9LjpR2ca6B869siiKe2Ymp3aQ4gg,,True
60501,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60502,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60534,tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,,True
60535,tz2NPbVH9Py9pxoFzobFum1MhhKwwqhyhT7K,,True
60536,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60537,tz1d9q96fDqCG22yi47az3ZUjaGaz2QXds2g,,True
60545,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60546,tz1fPSiziKUiVprngSsRo4o1etsPP6cJDjDw,,True
60547,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60548,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60549,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60550,tz1cjLwdFdXCA8Sxi9SYqmq1mmsas7Zc4wEn,,True
60551,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60552,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60553,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60554,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60560,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60561,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60562,tz1cCocHy11NUnCvk9Ag7tG3oRjaZkshBLNV,,True
60563,tz2K1rDmszPuzVQYUcyDFxeSm7ZEJdDvhXx4,,True
60564,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60565,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60566,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60567,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60571,tz2MvVmKN6tg19eHuGVvCXJch89E1vPyTzdp,,True
60572,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60573,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60575,tz2ADkTPve4p6iGRXLkYvkqvqKaY5v52fqQv,,True
60576,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60577,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60578,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60580,tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK,,True
60581,tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,,True
60582,tz1WNfgbE44hCLgYuBQhQz8aF6Lcm1KNQgZy,,True
60583,tz2K1rDmszPuzVQYUcyDFxeSm7ZEJdDvhXx4,,True
60584,KT1KUF5PQYJhUXQoHfNaGYekBGabmLtjQ9ks,KT1KUF5...Ja2A (contract),True
60585,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60586,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60587,KT1KUF5PQYJhUXQoHfNaGYekBGabmLtjQ9ks,KT1KUF5...Ja2A (contract),True
60589,tz1YCuRnQExvv8qLnkA3Z88FVzhSHnv3QYrZ,,True
60590,tz2EypQ3ahyb23C4M8WEjCWp7zSvo91VFAnH,,True
60593,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60595,tz1L6Xg6i47iS74smLaB1Jw3sNpLNLCGwRND,,True
60596,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60597,tz1cdXXrC2A6pByLhbjdmjEiyciH6yVTkn8z,,True
60599,tz1LiKcgzMA8E75vHtrr3wLk5Sx7r3GyMDNe,,True
60600,tz1VCGR7iYBeX3eabcEaAKbBsu9tfVv1S7zg,,True
60601,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60603,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60605,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60606,tz1hwRy1ENMBXKFCcLkrREuuD1QbuehoUHQm,,True
60607,tz1fb6jz7rh4H7AojLShvhiXKaSNDyvkH7sM,,True
60608,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60612,tz2HNr69LW9HE3KZijVk3DWHfFHvif92Jy3P,,True
60613,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60614,tz1QReK4Ut8jjZknD9DznTPQihQ8kDfXu7Uv,,True
60615,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60616,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60617,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60618,tz1WS92CzY5LdJGZU36sCZrDPtejZNMvHXfu,,True
60619,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60620,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60621,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60622,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60623,tz1SPkP8D7tG19q81n1F8VW8Set57dc9T2ig,,True
60624,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60625,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60626,tz1SpRwsAdsWshBeugtEaWD5PhesgzRvHVrn,,True
60627,tz1WH9UH3SSwSZFJNCULKXYEupRsLQejHsvA,,True
60628,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60629,tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj,,True
60630,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60631,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60632,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60633,tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,,True
60636,tz1U9RY2mXmwAaSSm67rEy49N5YE1Rs7K223,,True
60637,tz1PuoMyzd6YBTdNppANZWWwGXnp2YjyNMCw,,True
60638,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60639,tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,,True
60640,tz1PZHDbFJjhTNuLkhkyFDZd7JynTwqSQd7s,,True
60641,tz1Q5Q2vSMATZN8XfSLo4nXGvXVALkg4qwL6,,True
60642,tz1PuoMyzd6YBTdNppANZWWwGXnp2YjyNMCw,,True
60643,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60644,tz2Rsx9RkmdQeX7s2WmEKaudFQMG3dp26jxR,,True
60645,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60646,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60647,tz1bNpCsGoX9eYjL1rKBLeQYmtWXB8RqGPdm,,True
60648,tz2CLumZCtHXkowtMRGHqsNZef8qx9wyLj6h,,True
60649,tz2HRt6ypMos8NYqhfigScKZEuTevorT6adp,,True
60650,tz1ShU8VtGG2cb3xsCjWFZGv7r2NfczyYEgE,,True
60651,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60688,tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,,True
60690,tz2Wsgt6es2pjHrmtpgPYTpzou5N1KYim6hD,,True
60692,tz1LHoWVG4uuJpLsQg2gg9UdB5dp68p3Dg4h,,True
60693,tz2GDcDsnKTZCeJf4tTwu6Lgm21t5SCua6Wk,,True
60694,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60696,tz1PuoMyzd6YBTdNppANZWWwGXnp2YjyNMCw,,True
